bias,name,precision_mean,precision_std,recall_mean,recall_std,auroc_mean,auroc_std,dp_mean,dp_std,ftu_mean,ftu_std
0,decaf_ftu,0.9097876004592422,0.001980482204362788,0.745,0.05249999999999998,0.8198214285714286,0.023571428571428587,0.06697161623270001,0.09183673469387758,0.038970588235294125,0.10257550598981095
0.25,decaf_ftu,0.907607995343892,0.004729482566290015,0.7387499999999999,0.038910956040683446,0.8158035714285715,0.019455478020341695,0.07513488153882245,0.06352809149499339,0.013970588235294124,0.02288879767099027
0.5,decaf_ftu,0.9087778898617309,0.0065697722256772995,0.7575000000000001,0.030720514318611267,0.8242857142857144,0.010690449676496964,0.059699741965751854,0.04647414549657044,0.021323529411764706,0.027403889931741518
0.75,decaf_ftu,0.9074447474167624,0.007712016346445701,0.74,0.05612486080160912,0.8164285714285715,0.02806243040080459,0.07309406521229185,0.09163242579854552,0.026470588235294124,0.051175625415603866
1,decaf_ftu,0.9031663897337108,0.01836894211270703,0.65,0.10443299287102711,0.7758928571428572,0.050152827661548466,0.16324184846352335,0.15409512552837273,0.07867647058823528,0.12391614881732026
